"date","value"
2020-04-12 09:00:00,14.9
2020-04-12 10:00:00,16.7
2020-04-12 11:00:00,18.2
2020-04-12 12:00:00,18.8
2020-04-13 00:00:00,10.2
2020-04-13 01:00:00,9.4
2020-04-13 02:00:00,8.7
2020-04-13 03:00:00,7.8
2020-04-13 04:00:00,7.0
2020-04-13 05:00:00,7.1
2020-04-13 06:00:00,6.5
2020-04-13 07:00:00,6.5
2020-04-13 08:00:00,6.4
2020-04-13 09:00:00,6.8
2020-04-13 10:00:00,6.9
2020-04-13 11:00:00,6.9
2020-04-13 12:00:00,7.6
2020-04-14 00:00:00,3.5
2020-04-14 01:00:00,3.2
2020-04-14 02:00:00,3.1
2020-04-14 03:00:00,2.8
2020-04-14 04:00:00,2.8
2020-04-14 05:00:00,3.0
2020-04-14 06:00:00,3.1
2020-04-14 07:00:00,4.4
2020-04-14 08:00:00,4.7
2020-04-14 09:00:00,5.1
2020-04-14 10:00:00,5.8
2020-04-14 11:00:00,6.7
2020-04-14 12:00:00,7.5
2020-04-15 00:00:00,3.8
2020-04-15 01:00:00,2.3
2020-04-15 02:00:00,2.2
2020-04-15 03:00:00,2.5
2020-04-15 04:00:00,2.5
2020-04-15 05:00:00,2.2
2020-04-15 06:00:00,3.1
2020-04-15 07:00:00,5.0
2020-04-15 08:00:00,7.0
2020-04-15 09:00:00,8.3
2020-04-15 10:00:00,9.7
2020-04-15 11:00:00,11.1
2020-04-15 12:00:00,12.1
2020-04-16 00:00:00,7.0
2020-04-16 01:00:00,5.8
2020-04-16 02:00:00,5.3
2020-04-16 03:00:00,5.1
2020-04-16 04:00:00,4.7
2020-04-16 05:00:00,4.3
2020-04-16 06:00:00,5.7
2020-04-16 07:00:00,8.1
2020-04-16 08:00:00,10.6
2020-04-16 09:00:00,13.4
2020-04-16 10:00:00,15.1
2020-04-16 11:00:00,15.9
2020-04-16 12:00:00,16.1
2020-04-17 00:00:00,9.5
2020-04-17 01:00:00,9.1
2020-04-17 02:00:00,9.2
2020-04-17 03:00:00,8.9
2020-04-17 04:00:00,8.5
2020-04-17 05:00:00,8.2
2020-04-17 06:00:00,8.2
2020-04-17 07:00:00,9.0
2020-04-17 08:00:00,10.0
2020-04-17 09:00:00,11.4
2020-04-17 10:00:00,11.5
2020-04-17 11:00:00,11.3
2020-04-17 12:00:00,11.8
2020-04-18 00:00:00,6.4
2020-04-18 01:00:00,6.8
2020-04-18 02:00:00,6.8
2020-04-18 03:00:00,6.7
2020-04-18 04:00:00,6.7
2020-04-18 05:00:00,6.8
2020-04-18 06:00:00,6.9
2020-04-18 07:00:00,6.8
2020-04-18 08:00:00,7.0
2020-04-18 09:00:00,7.4
2020-04-18 10:00:00,8.2
2020-04-18 11:00:00,8.9
2020-04-18 12:00:00,9.5
2020-04-19 00:00:00,7.9
2020-04-19 01:00:00,5.6
2020-04-19 02:00:00,6.2
2020-04-19 03:00:00,6.4
2020-04-19 04:00:00,6.6
2020-04-19 05:00:00,6.2
2020-04-19 06:00:00,6.4
2020-04-19 07:00:00,6.3
2020-04-19 08:00:00,7.2
2020-04-19 09:00:00,8.7
2020-04-19 10:00:00,10.4
2020-04-19 11:00:00,12.2
2020-04-19 12:00:00,13.5
2020-04-20 00:00:00,7.0
2020-04-20 01:00:00,6.3
2020-04-20 02:00:00,6.0
2020-04-20 03:00:00,6.0
2020-04-20 04:00:00,6.2
2020-04-20 05:00:00,6.3
2020-04-20 06:00:00,7.0
2020-04-20 07:00:00,8.2
2020-04-20 08:00:00,9.8
2020-04-20 09:00:00,11.2
2020-04-20 10:00:00,11.7
2020-04-20 11:00:00,12.3
2020-04-20 12:00:00,12.9
2020-04-21 00:00:00,9.4
2020-04-21 01:00:00,9.0
2020-04-21 02:00:00,8.6
2020-04-21 03:00:00,8.2
2020-04-21 04:00:00,7.9
2020-04-21 05:00:00,7.7
2020-04-21 06:00:00,8.1
2020-04-21 07:00:00,9.6
2020-04-21 08:00:00,10.9
2020-04-21 09:00:00,11.9
2020-04-21 10:00:00,12.5
2020-04-21 11:00:00,13.1
2020-04-21 12:00:00,13.5
2020-04-22 00:00:00,9.3
2020-04-22 01:00:00,8.5
2020-04-22 02:00:00,8.2
2020-04-22 03:00:00,7.9
2020-04-22 04:00:00,7.6
2020-04-22 05:00:00,7.4
2020-04-22 06:00:00,8.1
2020-04-22 07:00:00,9.4
2020-04-22 08:00:00,11.0
2020-04-22 09:00:00,12.8
2020-04-22 10:00:00,14.2
2020-04-22 11:00:00,14.8
2020-04-22 12:00:00,15.6
